qSpecies_string,species_id,confidence
Malus 'Perfect Purple' - 'Perfect Purple' flowering crabapple,739c7107-6028-5eea-81a6-a09abb7d1406,0.60
Cercis canadensis 'Royal White' - 'Royal White' Eastern redbud,f768334a-6811-5485-8b5f-f4d14c698ece,0.90
Castanea mollissima - Chinese chestnut,,1.00
Celtis australis - European hackberry,419930ce-7120-53ec-bcb7-e4485fdd812a,1.00
Pistacia chinensis - Chinese pistache,eb5835fd-0ae8-5378-9a10-9f0c0b40d5bf,1.00
Cornus kousa var. chinensis - Kousa dogwood,,0.90
Prunus persica - Peach,30b4e651-6d3f-589d-9d51-8dff94cdbc64,1.00
Acer miyabei 'Rugged Ridge' - 'Rugged Ridge' Miyabe maple,,0.90
Robinia hispida - bristly locust,,1.00
Malus 'Donald Wyman' - 'Donald Wyman' Crabapple,739c7107-6028-5eea-81a6-a09abb7d1406,0.60
Cornus mas 'Golden Glory' - 'Golden Glory' Cornelian cherry dogwood,,0.90
Juniperus virginiana 'Glauca' - 'Glauca' Eastern red cedar,,0.90
Prunus americana - American plum,,1.00
Liquidambar styraciflua 'Cherokee' - 'Cherokee' Sweetgum,16934db9-16c4-5fb9-86e3-45177c3737ae,0.90
Chamaecyparis obtusa 'Crippsii' - 'Crippsii' Golden hinoki cypress,b2ffee94-6989-57bd-b2c3-cd2fb68b7a5f,0.90
Taxodium ascendens 'Morris Debonair' - 'Morris Debonair' Bald cypress,,0.90
Pyrus calleryana 'Chanticleer' - 'Chanticleer' Callery pear,baeb3a71-b3aa-559f-8d72-498e6e9a7966,0.90
Quercus montana - Chestnut oak,,1.00
Cornus controversa 'June Snow' - 'June Snow' dogwood,,0.90
Abies balsamea - balsam fir,,1.00
Ulmus 'Jefferson' - 'Jefferson' Elm,a40af43e-f1a8-5b93-ae6f-77bf177ce510,0.60
Pinus sylvestris - Scots pine,816297be-6e1a-56b2-ba39-e3d7d50d8b0b,1.00
Celtis occidentalis 'Chicagoland' - 'Chicagoland' Hackberry,870cf55e-0c5b-5642-ace4-fce540523f06,0.90
Syringa reticulata 'Snowcap' - 'Snowcap' Japanese tree lilac,4d22c9a2-3c83-50eb-a47e-f06e339b9546,0.90
Styrax japonicus 'Snow Charm' - 'Snow Charm' Japanese snowbell,b64d2848-20e9-57d6-b947-24d4dafb49b1,0.90
Tilia americana 'Legend' - 'Legend' American linden,d3fc96d6-1c66-53ec-b3ff-15b9ecf1abd3,0.90
Quercus palustris 'Pacific Brilliance' - 'Pacific Brilliance' Pin oak,1f46b39b-30b0-51a9-8f88-3916a1ef6af5,0.90
Cedrus atlantica 'Glauca' - Blue Atlas cedar,f6a655c6-5c45-5b25-8f77-be6aa1f6675a,0.90
Carya - Hickory,,0.70
Larix laricina - tamarack,,1.00
Populus grandidentata - bigtooth aspen,,1.00
Gleditsia triacanthos var. inermis 'Northern Acclaim' - 'Northern Acclaim' Thornless honeylocust,579354bc-9c0f-594d-b73e-9b0bf6a3bf01,0.90
Thuja 'Green Giant' - 'Green Giant' Arborvitae,,0.60
