qSpecies_string,species_id,confidence
Prunus x yedoensis 'Akebono',8cc51207-a51f-502d-9c32-86d395163370,0.75
Pseudotsuga menziesii,3ee32509-22e6-55dc-9f06-a4745247108c,1.00
Quercus frainetto ‘Schmidt’,f6b4368f-95bd-5e40-974b-61b11fed7cbd,0.90
Sequoiadendron giganteum,a3e23e7e-c03c-5d69-ac40-a404f6684ccd,1.00
Syringa reticulata,4d22c9a2-3c83-50eb-a47e-f06e339b9546,1.00
Tilia cordata 'Greenspire',ba9b1516-7e48-5669-b87c-d218fa4bcadd,0.90
Acer grandidentatum,947fe3d2-193d-5def-aed9-b0c7f84c741f,1.00
Acer grandidentatum 'Schmidt',9099b7cb-1e17-581b-ab14-5a4c8e1e2ee1,0.90
Acer x freemanii ‘Autumn Fantasy’,b6530b69-dfd1-5716-99d7-870ff4d67caf,0.75
Acrocomia totai,a82b586f-33cc-59a6-954b-c2b04eff3df9,1.00
Aesculus,47266722-d75f-5c50-b160-890115a1a6b7,0.70
Araucaria bidwillii,aecb06c3-4882-50c0-b239-2cfc6ec964ff,1.00
Arctostaphylos manzanita,22e403d3-040c-5df0-92bd-2c21d762acd3,1.00
Bauhinia forficata,fda7e323-d044-5689-a23c-8cb509a1bd30,1.00
Betula papyrifera,f9cbf460-3719-5e4a-a598-1849c2f282c1,1.00
Bougainvillea,5311ae3a-8cdf-5629-abaf-321d019dfd32,0.70
Brahea armata,43d57894-4a68-5c09-aa78-a26be31fb387,1.00
Butia capitata,979e5946-214d-5ebe-8da3-20497a87b921,1.00
Casimiroa edulis,3f463e5a-2331-5ec5-94b9-c21a2e341f17,1.00
Cedrus atlantica,7aadb1f5-3422-5338-b99e-68ef3daa3ba8,1.00
